id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
917496,Beetlejuice Beetlejuice,Comedy-Fantasy-Horror,en,After a family tragedy three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice Lydia's life is turned upside down when her teenage daughter Astrid accidentally opens the portal to the Afterlife.,1434.036,Warner Bros. Pictures-Geffen Pictures-Plan B Entertainment-Tim Burton Productions-Domain Entertainment-Tommy Harper Productions,2024-09-04,100000000.0,264414877.0,105.0,Released,The ghost with the most is back.,7.223,433.0,Michael Keaton-Winona Ryder-Catherine O'Hara-Jenna Ortega-Justin Theroux-Willem Dafoe-Monica Bellucci-Arthur Conti-Nick Kellington-Santiago Cabrera-Burn Gorman-Danny DeVito-Sami Slimane-Amy Nuttall-Mark Heenehan-Charlie Hopkinson-Liv Spencer-Skylar Park-Matt Lyons-Jane Leaney-David Ayres-Sophie Holland-Walles Hamonde-Max Pemberton-Rebecca O'Mara-Adam Speers-Daryl Kwan-Caroline Lawrie-Philip Philmar-Stephen K. Amos-Sean Verre-Noah Mendes-Juliana Yazbeck-Bea Svistunenko-Filipe Cates-Alex Michael Stoll-Rupi Lal-Georgina Beedle-Stefano Marchetti-Samantha Chung-James Fisher-Travis Campbell-Ian Hawkins-Christopher C. James-Tim Kavanagh,afterlife-haunted house-sequel-paranormal-teenage girl-gothic-death-new england-ghost-horror comedy-unexpected death-mother daughter relationship-fantasy-fantasy comedy,/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,/cgKZtNSETjXJPkAQ4rasV7dnyQH.jpg,646097-841742-2574-1280990-395817-473958-1130053-889737-1103750-37567-1320389-1060161-1038263-1276210-1104937-1200513-1321170-1148663-1182047-1139106
957452,The Crow,Action-Fantasy-Horror-Thriller,en,Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself Eric sets out to seek merciless revenge on their killers traversing the worlds of the living and the dead to put the wrong things right.,275.489,The Electric Shadow Company-Davis Films-Pressman Film-Ashland Hill Media Finance-FilmNation Entertainment-Hassell Free Productions-30WEST-Lionsgate-Yellow Flower-Czech Anglo Productions-Maze Pictures,2024-08-21,50000000.0,13690814.0,111.0,Released,True love never dies.,5.479,193.0,Bill Skarsgård-FKA twigs-Danny Huston-Laura Birn-Jordan Bolger-Isabella Wei-Sami Bouajila-David Bowles-Dukagjin Podrimaj-Paul Maynard-Jim High-Sebastian Orozco-Kim Girschner-Baha Chbani,husband wife relationship-soulmates-superhero-crow-based on comic-remake-revenge-murder-back from the dead-death-true love-awakening-dark romance-re-imagining-complicated-gloomy-ridiculous,/AqchrmqqSCsEvhuinXgFXTD8q83.jpg,/Asg2UUwipAdE87MxtJy7SQo08XI.jpg,840705-39893-79892-1327530-1042650-1201072-25476-1146143-1298238-874743-1091267-974250-869291-976581-1300962-1247031-460071-1079091-945961-1226578
945961,Alien: Romulus,Horror-Science Fiction,en,While scavenging the deep ends of a derelict space station a group of young space colonizers come face to face with the most terrifying life form in the universe.,1496.056,20th Century Studios-Scott Free Productions-Brandywine Productions,2024-08-13,80000000.0,225439383.0,119.0,Released,They went looking for a new life. It found them.,7.213,628.0,Cailee Spaeny-David Jonsson-Archie Renaux-Isabela Merced-Spike Fearn-Aileen Wu-Rosie Ede-Soma Simon-Bence Okeke-Viktor Orizu-Robert Bobroczkyi-Trevor Newlin-Annemarie Griggs-Daniel Betts,alien life-form-alien-space-alien contact-alien monster-alien encounter-space capsule-alien hostility-amused,/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg,/9SSEUrSqhljBMzRe4aBTh17rUaC.jpg,726139-1243849-97984-1032823-860867-1094138-913001-838154-1079091-1111869-52868-1209217-41975-23587-251577-1216191-981063-1251621-1233208-683363
869291,Cuckoo,Horror-Mystery-Science Fiction,en,After reluctantly moving to the German Alps with her father and his new family Gretchen discovers that their new town hides sinister secrets as she's plagued by strange noises and frightening visions of a woman pursuing her.,121.47,NEON-100 Zeros-Waypoint Entertainment-Fiction Park,2024-08-02,7000000.0,6470705.0,103.0,Released,Fear its call.,5.5,52.0,Hunter Schafer-Dan Stevens-Jessica Henwick-Marton Csokas-Mila Lieu-Greta Fernández-Astrid Bergès-Frisbey-Proschat Madani-Kalin Morrow-Jan Bluthardt-Lesley Jennifer Higl-Zita Hanrot-Konrad Singer-Veronika Bachfischer-Carolin Ott-Johannes Benecke-Conny Brandt-Jana Bange-Laura Pröll-Jennifer Buschmann-Matthea Pedersen-Joshua Hupfauer-Sydney Lafaire,germany-stepmother-grief-female protagonist-scientist-dead mother-sign languages-half sister-trippy-mountain resort-lesbian-mute character-ambiguous-cliché-commanding-german alps,/4bGP5cnSZbfBJfIidZNSEIKnav7.jpg,/1eoCL8fPUZKlho03XVeNzZ3nlds.jpg,1166073-1087571-31578-933260-437381-1240422-1175038-11450-957452-945961-754609-50839-1079091-520023-1226578-718821-63-497698-680-346698
533535,Deadpool & Wolverine,Action-Comedy-Science Fiction,en,A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary Deadpool behind him. But when his homeworld faces an existential threat Wade must reluctantly suit-up again with an even more reluctant Wolverine.,2395.156,Marvel Studios-Maximum Effort-21 Laps Entertainment-20th Century Studios-Kevin Feige Productions-TSG Entertainment,2024-07-24,200000000.0,1304995644.0,128.0,Released,Come together.,7.701,2912.0,Ryan Reynolds-Hugh Jackman-Emma Corrin-Matthew Macfadyen-Dafne Keen-Jon Favreau-Morena Baccarin-Rob Delaney-Leslie Uggams-Jennifer Garner-Wesley Snipes-Channing Tatum-Chris Evans-Henry Cavill-Wunmi Mosaku-Aaron Stanford-Tyler Mane-Karan Soni-Brianna Hildebrand-Shioli Kutsuna-Stefan Kapicic-Randal Reeder-Lewis Tan-Nick Pauley-Sonita Henry-Ryan McKen-Nanak Phlora-Aydin Ahmed-Leemore Marrett Jr.-James Dryden-Ollie Palmer-Greg Hemphill-Aaron W Reed-Mike Waters-Rob McElhenney-James Reynolds-Ed Kear-Paul G. Raymond-Blake Lively-Inez Reynolds-Nathan Fillion-Matthew McConaughey-OIin Reynolds-Paul Mullin-Alex Kyshkovych-Chris Hemsworth-Billy Clements-Daniel Medina Ramos-Jade Lye-Nilly Cetin-Eduardo Gago Muñoz-Chloe Kibble-Curtis Rowland Small-Ayesha Hussain-Jessica Walker-Harry Holland-Kevin Fortin,hero-superhero-anti hero-mutant-breaking the fourth wall-marvel cinematic universe (mcu)-mutants-superhero teamup,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,/9l1eZiJHmhr5jIlthMdJN5WYoff.jpg,573435-718821-945961-519182-1032823-1022789-799583-762441-365177-1226578-1079091-1094138-1059064-704239-1023922-956842-383498-840705-653346-1008409
718821,Twisters,Action-Adventure-Drama,en,As storm season intensifies the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.,523.435,Universal Pictures-Warner Bros. Pictures-Amblin Entertainment-Domain Entertainment,2024-07-10,155000000.0,274535650.0,123.0,Released,Chase. Ride. Survive.,7.145,320.0,Daisy Edgar-Jones-Glen Powell-Anthony Ramos-Brandon Perea-Maura Tierney-Harry Hadden-Paton-Sasha Lane-Daryl McCormack-Kiernan Shipka-Nik Dodani-David Corenswet-Tunde Adebimpe-Katy O'Brian-David Born-Paul Scheer-Laura Poe-Austin Bullock-Stephen Oyoung-Alex Kingi-Chris Adrien-Samantha Ireland-Aila Grey-Jeff Swearingen-James Paxton-Lily Smith-Randy Ballard-Ashley Moss-Mike Morgan-Emily Sutton-Julie Oliver-Touchstone-Austin Brooks-Darryl Cox-Douglas Seok-Ben Snow-Ashley Jay Sandberg-Clay Edward Jones-Victoria Angelina Cruz-Ben Scott-Elizabeth Ann Townsend-Capri O'Neill-Livia Chung-Chris Zurcher-Maxim Helmerich-Ken Pomeroy-James McAlister-Damien Lodes-Jennifer Rader-Shaun Maher-Tyler Kijac-Daniel Fortman,tornado-twister-natural disaster-oklahoma-storm chaser-disaster-storm-disaster movie-social media influencer-exhilarated-exuberant,/pjnD08FlMAIXsfOLKQbvmO0f0MD.jpg,/wsgni4E1UnBuvFouUUanSdniQi0.jpg,1226578-533535-956842-1023922-1263766-1001292-1129598-41059-1119527-1305928-162462-23736-280612-152266-1039482-1155058-14295-357894-1309770
956842,Fly Me to the Moon,Comedy-Romance,en,Sparks fly in all directions as marketing maven Kelly Jones brought in to fix NASA's public image wreaks havoc on Apollo 11 launch director Cole Davis' already difficult task of putting a man on the moon. When the White House deems the mission too important to fail Jones is directed to stage a fake moon landing as backup and the countdown truly begins.,177.468,These Pictures-Berlanti Productions-Apple Studios,2024-07-06,100000000.0,19000000.0,132.0,Released,Will they make history... or fake it?,7.452,52.0,Scarlett Johansson-Channing Tatum-Woody Harrelson-Jim Rash-Ray Romano-Nick Dillenburg-Anna Garcia-Noah Robbins-Colin Woodell-Christian Zuber-Donald Watkins-Peter Jacobson-Kyle S. Brown-Jessie Mueller-Colin Jost-Gary Weeks-Njema Williams-Dariusz Wolski-Todd Allen Durkin-Christian Grey Moore-Kade Pittman,nasa-romantic comedy-moon landing-space race-1960s-apollo program,/gjk8YdXpItoC1in53FCrZMFIuBx.jpg,/8xMR5w9qfpwhTJzjjvfj2ywvIF3.jpg,1104844-6974-718821-987686-1726-823482-939335-76600-900667-566525-967847-980489-507086-425909-877269-774752-315162-843794-667538-565770
762441,A Quiet Place: Day One,Horror-Science Fiction-Thriller,en,As New York City is invaded by alien creatures who hunt by sound a woman named Sam fights to survive with her cat.,1131.329,Paramount Pictures-Platinum Dunes-Sunday Night Productions,2024-06-26,67000000.0,244911350.0,99.0,Released,Hear how it all began.,6.79,546.0,Lupita Nyong'o-Joseph Quinn-Alex Wolff-Djimon Hounsou-Eliane Umuhire-Takunda Khumalo-Alfie Todd-Avy-Berry Worrall-Ronnie Le Drew-Benjamin Wong-Michael Roberts-Gavin Fleming-Elijah Ungvary-Alexander John-Thara Schöön-Thea Butler-Choy-Ling Man-Cain Aiden-Káit Feeney-Malik Jubal-Jennifer Woodward,monster-escape-cat-alien-prequel-survival-survivalist-fear-spin off-noise-silence-quiet,/hU42CRk14JuPEdqZG3AWmagiPAP.jpg,/2RVcJbWFmICRDsVxRI8F5xRmRsK.jpg,1226578-1086747-1084736-1022789-1008409-519182-956842-932086-718821-1012201-1023922-1029955-704673-974635-987686-635731-280180-999621-833257-1247031
932086,Horizon: An American Saga - Chapter 1,Drama-Western,en,Follow the story of how the Old West was won—and lost—through the blood sweat and tears of many. Spanning 15 years before during and following the Civil War from 1859 to 1874 embark on an emotional journey across a country at war with itself experienced through the lens of families friends and foes all attempting to discover what it truly means to be the United States of America.,310.872,Territory Pictures,2024-06-26,50000000.0,31670660.0,181.0,Released,The American saga begins this summer.,7.023,132.0,Kevin Costner-Sienna Miller-Sam Worthington-Jena Malone-Abbey Lee-Michael Rooker-Danny Huston-Luke Wilson-Ella Hunt-Tatanka Means-Owen Crow Shoe-Jeff Fahey-Tom Payne-Jamie Campbell Bower-Michael Angarano-Georgia MacPhail-Giovanni Ribisi-Will Patton-Isabelle Fuhrman-Tim Guinee-Colin Cunningham-Scott Haze-Douglas Smith-Alejandro Edda-Wasé Chief-Angus Macfadyen-Jon Beavers-Kathleen Quinlan-Etienne Kellici-Bodhi Okuma Linton-Gregory Cruz-Joe Burns-James Russo-David O'Hara-Chris Conner-Leroy Silva-Dale Dickey-Larry Bagby-James Landry Hébert-Claudia Conner-Daniel Link-Hayes Costner-Roger Ivens-Charles Halford-Whitney Palmer-Austin R. Grant-Bryan Hisey-Ariel Llinas-Raynor Scheine-Lindsay Foster-Cici Lau-Antonio D. Charity-Adriane McLean-John Coinman-Cleo Eringer-Parker-Nyla Eringer-Parker-Aidan McCann-Dawn Lura-Teyton Allan Colbert-Derek Hinkey-H. Jack Williams-Fiyero Barehand-Boo Arnold-Tiger Curran,montana-indigenous-brothel-new mexico-american civil war-post civil war-american west-19th century-manifest destiny-1860s-historical epic-1850s-arrogant-cliché-disrespectful,/tMI9SGttUJP96GbIIJOAaaCMkFe.jpg,/8UOAYjhwSF3aPZhm6wgLuyHRyrR.jpg,31506-706005-860901-77518-934601-1233208-592831-325372-912862-66141-19429-286595-718821-1104844-1100474-1226578-1051891-4169-1032425-1156966
801688,Kalki 2898-AD,Drama-Action-Fantasy-Science Fiction,te,In the year 2898 AD around 6000 years after Kurukshetra war Ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and Bhairava a wisecracking and self-interested bounty hunter tired of the perilous life becomes the hurdle in the process.,113.27,Vyjayanthi Movies,2024-06-26,75000000.0,120000000.0,181.0,Released,"When the world is taken over by darkness, a new force will arise.",6.705,39.0,Amitabh Bachchan-Prabhas-Deepika Padukone-Kamal Haasan-Saswata Chatterjee-Shobana-Rajendra Prasad-Pasupathy-Anna Ben-Keya Nair-Disha Patani-Harshith Malgireddy-Ayaz Pasha-Humhu-Kavya Ramachandran-Vinay Kumar-Anil George-Brahmanandam-Keerthy Suresh-Venkata Ramana-Hamish Boyd-Sanghwa Shin-Joher-Krishnakumar Balasubramanian-Arjun Das-Vijay Deverakonda-Malavika Nair-Mrunal Thakur-Dulquer Salmaan-Aakash Srinivas-Srinivas Avasarala-S. S. Rajamouli-Ram Gopal Varma-Anudeep-Faria Abdullah-Santhosh Narayanan-Đorđe Stojiljković-Sobhita Dhulipala,rebellion-temple-dystopia-villain-desert-religious statue-futuristic society-quest-imperialism-heroes-kalki-ancient temple-indian folklore-evil empire-fantasy-indian gods-mahabharat,/rstcAnBeCkxNQjNp3YXrF6IP1tW.jpg,/lOKQYk0IHZ3U6y1USV8dL3StXaE.jpg,1118224-1055288-1093971-962108-418325-1221198-1301273-1278884-212437-1209290-595743-948549-987686-1008409-762441-9339-573435-533535-27636
